"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Selected Bond Yields"

"DESCRIPTION"
"Government of Canada Bond Yields/Marketable Bond Average Yields"

"LINK"
"https://www.bankofcanada.ca/?p=39890"

"SERIES"
"id","label","description"
"CDN.AVG.1YTO3Y.AVG","1 to 3 year","Government of Canada marketable bonds - Average yield"
"CDN.AVG.3YTO5Y.AVG","3 to 5 year","Government of Canada marketable bonds - Average yield"
"CDN.AVG.5YTO10Y.AVG","5 to 10 year","Government of Canada marketable bonds - Average yield"
"CDN.AVG.OVER.10.AVG","Over 10 years","Government of Canada marketable bonds - Average yield"
"BD.CDN.2YR.DQ.YLD","2 year","Government of Canada benchmark bond yields"
"BD.CDN.3YR.DQ.YLD","3 year","Government of Canada benchmark bond yields"
"BD.CDN.5YR.DQ.YLD","5 year","Government of Canada benchmark bond yields"
"BD.CDN.7YR.DQ.YLD","7 year","Government of Canada benchmark bond yields"
"BD.CDN.10YR.DQ.YLD","10 year","Government of Canada benchmark bond yields"
"BD.CDN.LONG.DQ.YLD","Long-term","Government of Canada benchmark bond yields"
"BD.CDN.RRB.DQ.YLD","Long-term","Real return bond"

"OBSERVATIONS"
"date","CDN.AVG.1YTO3Y.AVG","CDN.AVG.3YTO5Y.AVG","CDN.AVG.5YTO10Y.AVG","CDN.AVG.OVER.10.AVG","BD.CDN.2YR.DQ.YLD","BD.CDN.3YR.DQ.YLD","BD.CDN.5YR.DQ.YLD","BD.CDN.7YR.DQ.YLD","BD.CDN.10YR.DQ.YLD","BD.CDN.LONG.DQ.YLD","BD.CDN.RRB.DQ.YLD"
"2001-01-02","5.14","5.21","5.27","5.55","5.11","5.14","5.19","5.23","5.28","5.52","3.39"
"2001-01-03","5.13","5.29","5.40","5.66","5.11","5.17","5.28","5.33","5.43","5.63","3.39"
"2001-01-04","5.02","5.20","5.35","5.65","4.99","5.07","5.20","5.26","5.39","5.62","3.39"
"2001-01-05","4.91","5.09","5.27","5.62","4.88","4.96","5.10","5.16","5.32","5.61","3.37"
"2001-01-08","4.93","5.11","5.29","5.66","4.89","4.98","5.12","5.18","5.35","5.66","3.36"
"2001-01-09","4.98","5.16","5.33","5.67","4.95","5.03","5.17","5.22","5.37","5.65","3.36"
"2001-01-10","5.03","5.21","5.37","5.70","5.00","5.08","5.21","5.27","5.41","5.68","3.36"
"2001-01-11","5.02","5.20","5.37","5.72","4.99","5.07","5.21","5.27","5.41","5.70","3.35"
"2001-01-12","5.07","5.24","5.40","5.74","5.04","5.11","5.24","5.30","5.45","5.72","3.35"
"2001-01-15","5.06","5.23","5.40","5.74","5.04","5.11","5.24","5.30","5.45","5.72","3.35"
"2001-01-16","5.10","5.26","5.41","5.73","5.07","5.14","5.27","5.33","5.45","5.70","3.35"
"2001-01-17","5.08","5.23","5.38","5.70","5.06","5.12","5.24","5.29","5.41","5.66","3.35"
"2001-01-18","5.01","5.18","5.35","5.69","4.99","5.04","5.19","5.25","5.39","5.67","3.34"
"2001-01-19","5.01","5.20","5.38","5.73","4.99","5.05","5.21","5.27","5.43","5.71","3.34"
"2001-01-22","5.06","5.24","5.42","5.75","5.04","5.10","5.25","5.31","5.46","5.73","3.34"
"2001-01-23","5.07","5.26","5.44","5.76","5.04","5.11","5.27","5.33","5.48","5.75","3.34"
"2001-01-24","5.11","5.30","5.46","5.79","5.08","5.14","5.30","5.37","5.51","5.78","3.34"
"2001-01-25","5.06","5.25","5.42","5.75","5.03","5.10","5.25","5.31","5.46","5.73","3.35"
"2001-01-26","5.04","5.23","5.41","5.75","5.01","5.08","5.24","5.30","5.46","5.74","3.36"
"2001-01-29","5.02","5.22","5.41","5.76","4.99","5.06","5.23","5.29","5.46","5.76","3.36"
"2001-01-30","4.98","5.19","5.39","5.74","4.95","5.03","5.21","5.26","5.45","5.74","3.36"
"2001-01-31","4.91","5.13","5.33","5.71","4.88","4.96","5.14","5.20","5.39","5.72","3.36"
