"REF_DATE","GEO","DGUID","Alternative measures","Release","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.4","","","","1"
"1990-02","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.3","","","","1"
"1990-03","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.4","","","","1"
"1990-04","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.5","","","","1"
"1990-05","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.6","","","","1"
"1990-06","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.5","","","","1"
"1990-07","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.5","","","","1"
"1990-08","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.4","","","","1"
"1990-09","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.6","","","","1"
"1990-10","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.7","","","","1"
"1990-11","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.7","","","","1"
"1990-12","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.8","","","","1"
"1991-01","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.9","","","","1"
"1991-02","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","4.0","","","","1"
"1991-03","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","4.0","","","","1"
"1991-04","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.8","","","","1"
"1991-05","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.6","","","","1"
"1991-06","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.7","","","","1"
"1991-07","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.5","","","","1"
"1991-08","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.4","","","","1"
"1991-09","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","3.2","","","","1"
"1991-10","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.9","","","","1"
"1991-11","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.7","","","","1"
"1991-12","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.7","","","","1"
"1992-01","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.5","","","","1"
"1992-02","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.3","","","","1"
"1992-03","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.1","","","","1"
"1992-04","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.1","","","","1"
"1992-05","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.0","","","","1"
"1992-06","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","1.9","","","","1"
"1992-07","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.0","","","","1"
"1992-08","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.1","","","","1"
"1992-09","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.0","","","","1"
"1992-10","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.1","","","","1"
"1992-11","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.1","","","","1"
"1992-12","Canada","","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","November 17, 2021","Percent","239","units","0","v1288342417","1.1.60","2.1","","","","1"
