"Date","Bank of Canada Target Overnight Rate"
"Jan 1935","2.5"
"Jan 1936","2.5"
"Jan 1937","2.5"
"Jan 1938","2.5"
"Jan 1939","2.5"
"Jan 1940","2.5"
"Jan 1941","2.5"
"Jan 1942","2.5"
"Jan 1943","2.5"
"Jan 1944","1.58"
"Jan 1945","1.5"
"Jan 1946","1.5"
"Jan 1947","1.5"
"Jan 1948","1.5"
"Jan 1949","1.5"
"Jan 1950","1.62"
"Jan 1951","2"
"Jan 1952","2"
"Jan 1953","2"
"Jan 1954","2"
"Jan 1955","1.9"
"Jan 1956","3.15"
"Jan 1957","4.02"
"Jan 1958","2.5"
"Jan 1959","5.13"
"Jan 1960","4.66"
"Feb 1960","4.62"
"Mar 1960","3.41"
"Apr 1960","3.5"
"May 1960","2.99"
"Jun 1960","3.07"
"Jul 1960","3.19"
"Aug 1960","2.25"
"Sep 1960","1.68"
"Oct 1960","2.87"
"Nov 1960","3.7699999999999996"
"Dec 1960","3.46"
"Jan 1961","3.22"
"Feb 1961","2.86"
"Mar 1961","3.21"
"Apr 1961","3.32"
"May 1961","3.17"
"Jun 1961","2.55"
"Jul 1961","2.63"
"Aug 1961","2.51"
"Sep 1961","2.42"
"Oct 1961","2.49"
"Nov 1961","2.42"
"Dec 1961","2.93"
"Jan 1962","3.1"
"Feb 1962","3.17"
"Mar 1962","3.1"
"Apr 1962","3.1"
"May 1962","3.5"
"Jun 1962","5.75"
"Jul 1962","5.75"
"Aug 1962","5.75"
"Sep 1962","5.25"
"Oct 1962","4.75"
"Nov 1962","3.75"
"Dec 1962","3.75"
"Jan 1963","3.75"
"Feb 1963","3.75"
"Mar 1963","3.75"
"Apr 1963","3.75"
"May 1963","3.25"
"Jun 1963","3.25"
"Jul 1963","3.25"
"Aug 1963","3.75"
"Sep 1963","3.75"
"Oct 1963","3.75"
"Nov 1963","3.75"
"Dec 1963","3.75"
"Jan 1964","3.75"
"Feb 1964","3.75"
"Mar 1964","3.75"
"Apr 1964","3.75"
"May 1964","3.75"
"Jun 1964","3.75"
"Jul 1964","3.75"
"Aug 1964","3.75"
"Sep 1964","3.75"
"Oct 1964","3.75"
"Nov 1964","4"
"Dec 1964","4"
"Jan 1965","4"
"Feb 1965","4"
"Mar 1965","4"
"Apr 1965","4"
"May 1965","4"
"Jun 1965","4"
"Jul 1965","4"
"Aug 1965","4"
"Sep 1965","4"
"Oct 1965","4"
"Nov 1965","4"
"Dec 1965","4.5"
"Jan 1966","4.5"
"Feb 1966","4.5"
"Mar 1966","5"
"Apr 1966","5"
"May 1966","5"
"Jun 1966","5"
"Jul 1966","5"
"Aug 1966","5"
"Sep 1966","5"
"Oct 1966","5"
"Nov 1966","5"
"Dec 1966","5"
"Jan 1967","5"
"Feb 1967","4.75"
"Mar 1967","4.75"
"Apr 1967","4.25"
"May 1967","4.25"
"Jun 1967","4.25"
"Jul 1967","4.25"
"Aug 1967","4.25"
"Sep 1967","4.75"
"Oct 1967","4.75"
"Nov 1967","5.75"
"Dec 1967","5.75"
"Jan 1968","6.75"
"Feb 1968","6.75"
"Mar 1968","7.25"
"Apr 1968","7.25"
"May 1968","7.25"
"Jun 1968","7.25"
"Jul 1968","6.25"
"Aug 1968","6.25"
"Sep 1968","5.75"
"Oct 1968","5.75"
"Nov 1968","5.75"
"Dec 1968","6.25"
"Jan 1969","6.25"
"Feb 1969","6.25"
"Mar 1969","6.75"
"Apr 1969","6.75"
"May 1969","6.75"
"Jun 1969","7.25"
"Jul 1969","7.75"
"Aug 1969","7.75"
"Sep 1969","7.75"
"Oct 1969","7.75"
"Nov 1969","7.75"
"Dec 1969","7.75"
"Jan 1970","7.75"
"Feb 1970","7.75"
"Mar 1970","7.75"
"Apr 1970","7.75"
"May 1970","7.25"
"Jun 1970","6.75"
"Jul 1970","6.75"
"Aug 1970","6.75"
"Sep 1970","6.25"
"Oct 1970","6.25"
"Nov 1970","5.75"
"Dec 1970","5.75"
"Jan 1971","5.75"
"Feb 1971","5"
"Mar 1971","5"
"Apr 1971","5"
"May 1971","5"
"Jun 1971","5"
"Jul 1971","5"
"Aug 1971","5"
"Sep 1971","5"
"Oct 1971","4.5"
"Nov 1971","4.5"
"Dec 1971","4.5"
"Jan 1972","4.5"
"Feb 1972","4.5"
"Mar 1972","4.5"
"Apr 1972","4.5"
"May 1972","4.5"
"Jun 1972","4.5"
"Jul 1972","4.5"
"Aug 1972","4.5"
"Sep 1972","4.5"
"Oct 1972","4.5"
"Nov 1972","4.5"
"Dec 1972","4.5"
"Jan 1973","4.5"
"Feb 1973","4.5"
"Mar 1973","4.5"
"Apr 1973","5"
"May 1973","5.5"
"Jun 1973","6"
"Jul 1973","6"
"Aug 1973","6.5"
"Sep 1973","7"
"Oct 1973","7"
"Nov 1973","7"
"Dec 1973","7"
"Jan 1974","7"
"Feb 1974","7"
"Mar 1974","7"
"Apr 1974","8"
"May 1974","8.5"
"Jun 1974","8.5"
"Jul 1974","9"
"Aug 1974","9"
"Sep 1974","9"
"Oct 1974","9"
"Nov 1974","8.5"
"Dec 1974","8.5"
"Jan 1975","8"
"Feb 1975","8"
"Mar 1975","8"
"Apr 1975","8"
"May 1975","8"
"Jun 1975","8"
"Jul 1975","8"
"Aug 1975","8"
"Sep 1975","8.75"
"Oct 1975","8.75"
"Nov 1975","8.75"
"Dec 1975","8.75"
"Jan 1976","8.75"
"Feb 1976","8.75"
"Mar 1976","9.25"
"Apr 1976","9.25"
"May 1976","9.25"
"Jun 1976","9.25"
"Jul 1976","9.25"
"Aug 1976","9.25"
"Sep 1976","9.25"
"Oct 1976","9.25"
"Nov 1976","8.75"
"Dec 1976","8.25"
"Jan 1977","8.25"
"Feb 1977","7.75"
"Mar 1977","7.75"
"Apr 1977","7.75"
"May 1977","7.25"
"Jun 1977","7.25"
"Jul 1977","7.25"
"Aug 1977","7.25"
"Sep 1977","7.25"
"Oct 1977","7.25"
"Nov 1977","7.25"
"Dec 1977","7.25"
"Jan 1978","7.25"
"Feb 1978","7.25"
"Mar 1978","7.75"
"Apr 1978","8.25"
"May 1978","8.25"
"Jun 1978","8.25"
"Jul 1978","8.75"
"Aug 1978","8.75"
"Sep 1978","9.25"
"Oct 1978","10"
"Nov 1978","10.5"
"Dec 1978","10.5"
"Jan 1979","11"
"Feb 1979","11"
"Mar 1979","11"
"Apr 1979","11"
"May 1979","11"
"Jun 1979","11"
"Jul 1979","11.5"
"Aug 1979","11.5"
"Sep 1979","12"
"Oct 1979","13.75"
"Nov 1979","13.75"
"Dec 1979","13.75"
"Jan 1980","13.75"
"Feb 1980","13.75"
"Mar 1980","14.54"
"Apr 1980","15.42"
"May 1980","11.58"
"Jun 1980","10.42"
"Jul 1980","9.93"
"Aug 1980","10.2"
"Sep 1980","10.77"
"Oct 1980","11.51"
"Nov 1980","12.81"
"Dec 1980","17.01"
"Jan 1981","16.75"
"Feb 1981","16.89"
"Mar 1981","16.34"
"Apr 1981","17.15"
"May 1981","18.81"
"Jun 1981","18.82"
"Jul 1981","19.64"
"Aug 1981","20.78"
"Sep 1981","19.38"
"Oct 1981","18.05"
"Nov 1981","15.15"
"Dec 1981","14.41"
"Jan 1982","14.47"
"Feb 1982","14.49"
"Mar 1982","14.86"
"Apr 1982","15.07"
"May 1982","15.07"
"Jun 1982","16.33"
"Jul 1982","15.35"
"Aug 1982","14.01"
"Sep 1982","12.93"
"Oct 1982","11.28"
"Nov 1982","10.62"
"Dec 1982","10.01"
"Jan 1983","9.56"
"Feb 1983","9.18"
"Mar 1983","9.17"
"Apr 1983","9.21"
"May 1983","9.13"
"Jun 1983","9.17"
"Jul 1983","9.26"
"Aug 1983","9.32"
"Sep 1983","9.27"
"Oct 1983","9.2"
"Nov 1983","9.38"
"Dec 1983","9.79"
"Jan 1984","9.73"
"Feb 1984","9.79"
"Mar 1984","10.51"
"Apr 1984","10.57"
"May 1984","11.35"
"Jun 1984","11.73"
"Jul 1984","12.99"
"Aug 1984","12.14"
"Sep 1984","12.03"
"Oct 1984","11.46"
"Nov 1984","10.53"
"Dec 1984","9.91"
"Jan 1985","9.41"
"Feb 1985","10.7"
"Mar 1985","10.93"
"Apr 1985","9.5"
"May 1985","9.34"
"Jun 1985","9.32"
"Jul 1985","9.06"
"Aug 1985","8.95"
"Sep 1985","9.06"
"Oct 1985","8.52"
"Nov 1985","8.73"
"Dec 1985","9.24"
"Jan 1986","10.08"
"Feb 1986","11.59"
"Mar 1986","10.19"
"Apr 1986","9.02"
"May 1986","8.18"
"Jun 1986","8.59"
"Jul 1986","8.38"
"Aug 1986","8.33"
"Sep 1986","8.38"
"Oct 1986","8.37"
"Nov 1986","8.22"
"Dec 1986","8.24"
"Jan 1987","7.49"
"Feb 1987","7.34"
"Mar 1987","6.89"
"Apr 1987","8.01"
"May 1987","8.29"
"Jun 1987","8.34"
"Jul 1987","8.51"
"Aug 1987","8.99"
"Sep 1987","9.32"
"Oct 1987","8.01"
"Nov 1987","8.23"
"Dec 1987","8.41"
"Jan 1988","8.38"
"Feb 1988","8.33"
"Mar 1988","8.53"
"Apr 1988","8.81"
"May 1988","8.87"
"Jun 1988","9.19"
"Jul 1988","9.28"
"Aug 1988","9.78"
"Sep 1988","10.29"
"Oct 1988","10.26"
"Nov 1988","10.59"
"Dec 1988","10.92"
"Jan 1989","11.29"
"Feb 1989","11.45"
"Mar 1989","12.15"
"Apr 1989","12.36"
"May 1989","12.15"
"Jun 1989","12.06"
"Jul 1989","12.07"
"Aug 1989","12.15"
"Sep 1989","12.22"
"Oct 1989","12.18"
"Nov 1989","12.22"
"Dec 1989","12.22"
"Jan 1990","12.04"
"Feb 1990","13"
"Mar 1990","13.13"
"Apr 1990","13.52"
"May 1990","13.8"
"Jun 1990","13.65"
"Jul 1990","13.34"
"Aug 1990","12.76"
"Sep 1990","12.36"
"Oct 1990","12.41"
"Nov 1990","12"
"Dec 1990","11.53"
"Jan 1991","10.63"
"Feb 1991","9.77"
"Mar 1991","9.67"
"Apr 1991","9.41"
"May 1991","8.82"
"Jun 1991","8.66"
