label,"GDP Per Capita"
2020,43241.6178282827
2019,46326.6726375572
2018,46454.7433947203
2017,45129.3564395662
2016,42315.6037056806
2015,43596.1355365546
2014,50955.9983232404
2013,52635.1749580433
2012,52669.0899632316
2011,52223.696112356
2010,47562.0834253057
2009,40876.3101540295
2008,46710.5055759013
2007,44659.8951408034
2006,40504.0607253203
2005,36382.5079164537
2004,32143.6814078562
2003,28300.4630963791
2002,24255.3385818322
2001,23822.0601178964
2000,24271.0020563821
1999,22315.2466731545
1998,21024.5850687045
1997,21901.5628548392
1996,21227.3475315896
1995,20613.7878829216
1994,19935.3814579208
1993,20121.1612532855
1992,20879.8483300891
1991,21768.3432941828
1990,21448.3619600057
1989,20715.631483174
1988,18936.9641024997
1987,16308.9669663579
1986,14461.0692388787
1985,14114.8077599664
1984,13877.9170763469
1983,13425.1224888294
1982,12481.8747874298
1981,12337.4662493804
1980,11170.5639723393
1979,10043.6609586669
1978,9123.69133364505
1977,8919.05746104275
1976,8809.26466044933
1975,7511.21134279151
1974,7033.01102090736
1973,5838.66089434012
1972,5089.58790204875
1971,4520.1628781257
1970,4121.93281373693
1969,3763.95337938417
1968,3462.67887195794
1967,3217.15929360795
1966,3047.10614707958
1965,2770.36180408145
1964,2555.11114601309
1963,2374.49844764883
1962,2268.58534607907
1961,2240.43303945853
1960,2259.29428549881
