Country Code;Country Name;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961
ABW;Aruba;;;;;-5,653502086;-6,881302064;-3,654626242;2,355119443;0,380390971;1,176690484;7,519472373;0,465289865;-2,164459409;-0,364695779;4,514062033;1,154469392;6,66662183;7,814431719;1,245085912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AND;Andorra;;;;;;3,570737186;1,4280715;6,789935147;5,9178627;6,484810116;6,754385451;5,874302308;11,77027275;1,165787064;4,099081148;3,194787965;9,067673964;4,649741959;2,757493977;2,383195277;-1,031491714;0,929215383;2,546000641;3,781393478;4,827030278;5,094324232;5,547122593;3,253321681;2,321435854;1,784687569;1,770115807;1,246461733;-0,132468704;2,208728144;0,041546518;1,463003413;2,838574307;3,303791457;0,542203245;5,618785784;7,788465414;8,149745709;4,649473525;;;;;;;;;;
AFG;Afghanistan;4,233773052;14,43474127;6,113685182;8,433290483;21,02064872;3,61136841;13,74020497;5,554137643;11,17527022;1,055555806;8,444163231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;Angola;4,059427491;5,188654135;3,91856683;3,407643628;2,412911615;13,81709896;22,59310611;20,7350198;18,26154849;10,87946505;5,24756962;13,82179252;4,220965148;3,012076175;3,239799671;6,804762114;7,9;11,2;10,4;3,5;-24,7;-6,9;-1,2;-0,3;0,4;5,6;7,9;2,8;;;;;;;;;;;;;;;;;;;;;;;;;
ALB;Albania;1,300052716;1,299987206;3;3,5;3,3;7,7;5,9;5;5,5;5,9;5,7;2,9;7;7,3;10,1;12,7;-10,2;9,1;13,3;8,3;9,6;-7,2;-29,58899767;-9,575640199;9,836548994;-1,420039678;-0,787842637;5,637243184;1,780643954;-1,25159665;1,104938293;2,948596777;5,745635295;;;;;;;;;;;;;;;;;;;;
ANR;Andean Region;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARB;Arab World;3,034781994;5,658468024;3,173416168;5,339813855;1,665676253;6,33560735;5,766263897;7,219151333;6,184775867;9,01594575;5,485405609;1,904928734;2,336355345;5,179275274;1,399511986;3,450241023;3,621035465;4,534285375;2,715278499;3,467003017;2,888294072;4,169041936;5,570303228;7,709023802;2,060988688;4,477534481;-0,477789658;0,269713535;-0,291533638;1,456448636;-2,600693547;-4,269059961;4,259922714;8,875903167;9,88696069;1,181978313;8,593693945;12,80456556;;;;;;;;;;;;;;;
ARE;United Arab Emirates;;4,365219161;3,879829306;1,670759558;-4,803924578;3,191838657;3,184390174;9,837319773;4,855141195;9,566436643;8,800540817;2,433456814;1,399085023;10,85270421;2,902213649;0,291994339;8,190398667;5,798404046;6,687886478;6,89614854;1,261190949;3,344944884;0,860081941;18,32798549;12,33789131;-2,61890772;3,381981698;-14,95813654;-3,59447653;4,016951295;-4,745820712;-6,719316187;4,659176679;23,87477488;20,92357308;-1,589603283;21,43933017;16,52685646;;;;;;;;;;;;;;;
ARG;Argentina;2,951206793;0,946197111;8,554912747;9,136242089;0,050512782;3,102113256;8,002890991;8,363924352;9,198489085;9,029573322;8,837040783;-10,89448482;-4,408839698;-0,788998922;-3,385457053;3,850178869;8,111046758;5,526689828;-2,845209611;5,836200697;5,906919494;11,94077473;12,6697101;-2,398959224;-7,496189573;-2,556904885;2,909993136;7,875779831;-7,58667719;2,211773504;3,875123433;-4,957178519;-5,689528;4,15176235;10,22276345;-4,506124798;6,934147763;-2,018251533;-0,028412088;5,533804401;2,81175404;1,628416499;5,658131081;3,045643341;9,679525991;4,822500792;3,191996625;-0,659726175;10,56943335;10,13029763;-5,308196829;-0,852021492;5,427842872
ARM;Armenia;3,5;7,2;4,7;2,2;-14,14998864;6,9;13,74920196;13,19800351;13,86571125;10,46784186;14,04079506;13,18630053;9,556641496;5,9;3,3;7,3;3,321079696;5,865400748;6,899998407;5,40000279;-8,799998792;-41,80000275;-11,69999848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
