"REF_DATE","GEO","DGUID","Seasonal adjustment","Prices","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","55466","","","","0"
"1990-02","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","58340","","","","0"
"1990-03","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","58604","","","","0"
"1990-04","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","58930","","","","0"
"1990-05","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","59352","","","","0"
"1990-06","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","59999","","","","0"
"1990-07","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","56935","","","","0"
"1990-08","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","61284","","","","0"
"1990-09","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","63591","","","","0"
"1990-10","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","60761","","","","0"
"1990-11","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","58438","","","","0"
"1990-12","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","55969","","","","0"
"1991-01","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","54116","","","","0"
"1991-02","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","56506","","","","0"
"1991-03","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","56845","","","","0"
"1991-04","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","57342","","","","0"
"1991-05","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","57974","","","","0"
"1991-06","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","59216","","","","0"
"1991-07","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","56096","","","","0"
"1991-08","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","60136","","","","0"
"1991-09","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","63229","","","","0"
"1991-10","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","60636","","","","0"
"1991-11","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","59041","","","","0"
"1991-12","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","56402","","","","0"
"1992-01","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","55077","","","","0"
"1992-02","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","57019","","","","0"
"1992-03","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","57603","","","","0"
"1992-04","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","57798","","","","0"
"1992-05","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","58264","","","","0"
"1992-06","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","59513","","","","0"
"1992-07","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","56810","","","","0"
"1992-08","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","57813","","","","0"
"1992-09","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","67225","","","","0"
"1992-10","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","59452","","","","0"
"1992-11","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","59340","","","","0"
"1992-12","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","57572","","","","0"
"1993-01","Canada","2016A000011124","Unadjusted","1997 constant dollars","All industries","Dollars","81","millions","6","v2035827","1.1.1.1","55808","","","","0"
