,CANLORSGPNOSTSAM,inflation_common,inflation_trimmed_median,inflation_weighted_median,employment_rate,unemployment_rate,participation_rate,5_year_bond_benchmark,10_year_bond_benchmark,long_term_bond_benchmark,Bank of Canada Target Overnight Rate,Mortgage Rate
1990-01-01,102.220628891313,3.4,4.9,4.7,60.4,8.7,66.1,10.045,9.965,9.82,12.04,12.01
1990-02-01,102.203404443,3.3,4.7,4.5,60.6,8.4,66.2,10.53818181818182,10.253636363636364,9.999090909090908,13.0,12.42
1990-03-01,102.130889471625,3.4,4.6,4.3,60.7,8.3,66.2,11.147692307692306,10.761538461538462,10.596153846153848,13.13,12.92
1990-04-01,101.995714011874,3.5,4.5,4.2,61.1,7.9,66.4,12.175,11.519285714285717,11.275714285714283,13.52,13.67
1990-05-01,101.800030030828,3.6,4.3,4.0,62.4,7.8,67.6,11.741538461538465,11.125384615384617,10.99,13.8,14.21
1990-06-01,101.549912741969,3.5,4.2,3.9,63.4,7.2,68.4,11.296,10.768,10.581,13.65,14.03
1990-07-01,101.254294613649,3.5,4.1,3.8,63.9,7.7,69.2,11.113636363636363,10.683636363636364,10.543636363636365,13.34,13.97
1990-08-01,100.921537920714,3.4,4.0,3.8,63.6,7.9,69.0,10.702352941176471,10.692941176470589,10.666470588235294,12.76,13.56
1990-09-01,100.559477146976,3.6,3.9,3.8,61.9,7.7,67.1,10.791666666666666,10.9625,10.9775,12.36,13.4
1990-10-01,100.178270046472,3.7,3.9,3.8,61.6,8.1,67.1,11.026666666666667,11.184666666666669,11.282666666666668,12.41,13.21
1990-11-01,99.7915320668071,3.7,4.0,3.9,60.6,8.9,66.5,10.4675,10.579166666666667,10.701666666666666,12.0,13.04
1990-12-01,99.4189334096381,3.8,4.0,3.9,59.9,9.2,66.0,10.212857142857144,10.26142857142857,10.31857142857143,11.53,12.49
1991-01-01,99.0892643568748,3.9,4.0,4.0,58.5,10.7,65.5,9.990714285714288,10.105714285714283,10.227857142857143,10.63,12.13
1991-02-01,98.8312207214192,4.0,4.0,4.0,58.4,11.1,65.7,9.477333333333332,9.578666666666669,9.816,9.77,11.58
1991-03-01,98.6613781912338,4.0,3.7,3.9,58.3,11.7,66.1,9.513636363636364,9.65090909090909,9.93090909090909,9.67,11.45
1991-04-01,98.5671057488968,3.8,3.4,3.6,58.8,10.8,65.9,9.322,9.49,9.752666666666666,9.41,11.27
1991-05-01,98.5239430082083,3.6,3.4,3.8,60.3,10.3,67.2,9.375714285714285,9.594285714285714,9.831428571428573,8.82,11.23
1991-06-01,98.5072247889759,3.7,3.3,3.6,61.3,10.0,68.0,9.605333333333334,9.902666666666669,10.083333333333334,8.66,11.24
1991-07-01,98.4999378044242,3.5,3.1,3.5,61.7,10.3,68.8,9.690666666666669,9.968666666666667,10.130666666666666,8.69,11.31
1991-08-01,98.4915674696625,3.4,3.1,3.5,61.6,10.1,68.5,9.476153846153846,9.72923076923077,9.933846153846153,8.55,11.47
1991-09-01,98.4761899628312,3.2,2.9,3.3,60.1,9.3,66.2,9.152,9.424,9.674,8.43,11.38
1991-10-01,98.4505201347573,2.9,2.6,3.1,60.0,9.5,66.3,8.502142857142857,8.982142857142858,9.355714285714283,7.92,10.84
1991-11-01,98.4134003847366,2.7,2.5,2.9,59.1,10.0,65.7,8.100000000000001,8.565555555555555,9.142222222222223,7.44,10.14
