month,variable,sex,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
1976-01,Employment,Both sexes,819.5,1029.7,427.4,229.6,162.4,303,3707.4,42.7,2545.4,369.5
1976-01,Employment,Females,307.1,379.3,164.9,84.3,50.8,110.3,1426.7,16.5,879.5,131.9
1976-01,Employment,Males,512.5,650.4,262.6,145.3,111.6,192.7,2280.7,26.2,1665.9,237.6
1976-01,Full-time employment,Both sexes,693.7,877.1,369,201.7,150,265.4,3209.1,37.2,2315.6,312.2
1976-01,Full-time employment,Females,217.9,274.6,119.8,62.7,42.1,84.6,1084.1,12.7,727,93.3
1976-01,Full-time employment,Males,475.8,602.5,249.2,139,107.8,180.8,2124.9,24.5,1588.7,218.9
1976-01,Part-time employment ,Both sexes,125.8,152.6,58.4,27.9,12.4,37.6,498.3,5.5,229.8,57.3
1976-01,Part-time employment ,Females,89.2,104.7,45,21.6,8.6,25.7,342.6,3.8,152.6,38.6
1976-01,Part-time employment ,Males,36.7,47.9,13.4,6.3,3.8,11.9,155.7,1.7,77.2,18.7
1976-02,Employment,Both sexes,830.7,1041.6,425.4,232.9,161.1,300.2,3713.4,42.7,2536.3,375.5
1976-02,Employment,Females,312.9,389,159.7,84.9,50.8,109.8,1429.5,16.2,876.9,133.2
1976-02,Employment,Males,517.8,652.6,265.7,148,110.4,190.4,2283.9,26.5,1659.5,242.3
1976-02,Full-time employment,Both sexes,704.3,880.8,373.3,208.2,147.8,262.6,3219.4,37.7,2314.1,319.3
1976-02,Full-time employment,Females,223.3,278.1,121,65.1,41.9,83.6,1084.3,13,730.1,95
1976-02,Full-time employment,Males,481,602.7,252.4,143.1,106,179,2135,24.7,1584,224.3
1976-02,Part-time employment ,Both sexes,126.4,160.8,52,24.7,13.3,37.6,494,5,222.2,56.2
1976-02,Part-time employment ,Females,89.6,110.9,38.7,19.7,8.9,26.1,345.2,3.2,146.7,38.2
1976-02,Part-time employment ,Males,36.8,49.9,13.3,4.9,4.4,11.4,148.8,1.8,75.5,18
1976-03,Employment,Both sexes,841.7,1047.6,432.1,230.7,161.7,301.3,3728.4,43.5,2545.3,371.8
1976-03,Employment,Females,318.1,389,161.9,82.4,49.9,109.7,1441.1,16.8,885.8,130.3
1976-03,Employment,Males,523.7,658.6,270.2,148.3,111.8,191.6,2287.3,26.8,1659.5,241.5
