"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","8.7","","","","1"
"1990-02","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","8.4","","","","1"
"1990-03","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","8.3","","","","1"
"1990-04","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","7.9","","","","1"
"1990-05","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","7.8","","","","1"
"1990-06","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","7.2","","","","1"
"1990-07","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","7.7","","","","1"
"1990-08","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","7.9","","","","1"
"1990-09","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","7.7","","","","1"
"1990-10","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","8.1","","","","1"
"1990-11","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","8.9","","","","1"
"1990-12","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","9.2","","","","1"
"1991-01","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","10.7","","","","1"
"1991-02","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","11.1","","","","1"
"1991-03","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","11.7","","","","1"
"1991-04","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","10.8","","","","1"
"1991-05","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","10.3","","","","1"
"1991-06","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","10.0","","","","1"
"1991-07","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","10.3","","","","1"
"1991-08","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","10.1","","","","1"
"1991-09","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","9.3","","","","1"
"1991-10","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","9.5","","","","1"
"1991-11","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","10.0","","","","1"
"1991-12","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","10.1","","","","1"
"1992-01","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","11.3","","","","1"
"1992-02","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","11.4","","","","1"
"1992-03","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","12.2","","","","1"
"1992-04","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","11.3","","","","1"
"1992-05","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","11.0","","","","1"
"1992-06","Canada","2016A000011124","Unemployment rate","Total, all education levels","Both sexes","15 years and over","Percentage","242","units","0","v2627992","1.8.1.1.1","10.9","","","","1"
